task,language,run_number,success,co2_mg,execution_time_s,session_id,timestamp
100_doors,cpp,1,True,3.884477138791491,0.2117457389831543,100_doors_cpp_iter01_090026,2025-10-18T09:00:27.816415
100_doors,cpp,2,True,6.911974563559192,0.20815062522888184,100_doors_cpp_iter02_090027,2025-10-18T09:00:28.626870
100_doors,cpp,3,True,9.938580938402454,0.20496153831481934,100_doors_cpp_iter03_090028,2025-10-18T09:00:29.434617
100_doors,cpp,4,True,12.998306524062306,0.2102515697479248,100_doors_cpp_iter04_090029,2025-10-18T09:00:30.247138
100_doors,cpp,5,True,16.05392531391819,0.20940852165222168,100_doors_cpp_iter05_090030,2025-10-18T09:00:31.061112
100_doors,cpp,6,True,19.20292540798253,0.20987343788146973,100_doors_cpp_iter06_090031,2025-10-18T09:00:31.873331
100_doors,cpp,7,True,22.515234843576582,0.20966148376464844,100_doors_cpp_iter07_090031,2025-10-18T09:00:32.685346
100_doors,cpp,8,True,25.604093986867763,0.20934057235717773,100_doors_cpp_iter08_090032,2025-10-18T09:00:33.500032
100_doors,cpp,9,True,28.68195511553426,0.21192240715026855,100_doors_cpp_iter09_090033,2025-10-18T09:00:34.314214
100_doors,cpp,10,True,31.71842279165763,0.21144461631774902,100_doors_cpp_iter10_090034,2025-10-18T09:00:35.127924
100_doors,cpp,11,True,34.951579634100355,0.2213754653930664,100_doors_cpp_iter11_090035,2025-10-18T09:00:35.951735
100_doors,cpp,12,True,38.42443607815459,0.21859383583068848,100_doors_cpp_iter12_090036,2025-10-18T09:00:36.772781
100_doors,cpp,13,True,41.51276336872332,0.20989227294921875,100_doors_cpp_iter13_090036,2025-10-18T09:00:37.584956
100_doors,cpp,14,True,44.594700716052664,0.21014666557312012,100_doors_cpp_iter14_090037,2025-10-18T09:00:38.398230
100_doors,cpp,15,True,47.72151532209832,0.21333670616149902,100_doors_cpp_iter15_090038,2025-10-18T09:00:39.214065
100_doors,cpp,16,True,50.74908398528626,0.20466279983520508,100_doors_cpp_iter16_090039,2025-10-18T09:00:40.020952
100_doors,cpp,17,True,53.7608118477825,0.20198297500610352,100_doors_cpp_iter17_090040,2025-10-18T09:00:40.825196
100_doors,cpp,18,True,56.667634865623135,0.20086193084716797,100_doors_cpp_iter18_090040,2025-10-18T09:00:41.628462
100_doors,cpp,19,True,58.47419187296365,0.20321893692016602,100_doors_cpp_iter19_090041,2025-10-18T09:00:42.438912
100_doors,cpp,20,True,60.14369549636951,0.20282721519470215,100_doors_cpp_iter20_090042,2025-10-18T09:00:43.244268
100_doors,cpp,21,True,61.756758542915776,0.19920825958251953,100_doors_cpp_iter21_090043,2025-10-18T09:00:44.045957
100_doors,cpp,22,True,63.38750698848273,0.20378375053405762,100_doors_cpp_iter22_090044,2025-10-18T09:00:44.852146
100_doors,cpp,23,True,65.09902138242211,0.20232820510864258,100_doors_cpp_iter23_090044,2025-10-18T09:00:45.657764
100_doors,cpp,24,True,66.74746430385483,0.20376324653625488,100_doors_cpp_iter24_090045,2025-10-18T09:00:46.463867
100_doors,cpp,25,True,68.37070035017682,0.20180487632751465,100_doors_cpp_iter25_090046,2025-10-18T09:00:47.268031
100_doors,cpp,26,True,70.13251642883652,0.20320773124694824,100_doors_cpp_iter26_090047,2025-10-18T09:00:48.077263
100_doors,cpp,27,True,71.76443183706904,0.202789306640625,100_doors_cpp_iter27_090048,2025-10-18T09:00:48.882419
100_doors,cpp,28,True,73.38707197865413,0.20223045349121094,100_doors_cpp_iter28_090048,2025-10-18T09:00:49.687085
100_doors,cpp,29,True,75.01306347547971,0.20184087753295898,100_doors_cpp_iter29_090049,2025-10-18T09:00:50.496227
100_doors,cpp,30,True,76.64357428493288,0.20256304740905762,100_doors_cpp_iter30_090050,2025-10-18T09:00:51.301237
100_doors,java,1,True,87.81863019584911,2.807237386703491,100_doors_java_iter01_090051,2025-10-18T09:00:54.714049
100_doors,java,2,True,99.1765220629938,2.771851062774658,100_doors_java_iter02_090054,2025-10-18T09:00:58.093942
100_doors,java,3,True,110.1773282644233,2.7740228176116943,100_doors_java_iter03_090058,2025-10-18T09:01:01.470392
100_doors,java,4,True,121.04721769220004,2.766040563583374,100_doors_java_iter04_090101,2025-10-18T09:01:04.838847
