language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,5,5,100.0,5,464.8513663264365,0.21640052795410156,2324.2568316321826,279.1590480370162,0.01827950240993825,1
python,6,6,100.0,6,490.5985757543032,1.2090678215026855,2943.5914545258192,263.532509279001,0.03441395894666326,2
typescript,3,3,100.0,3,531.6641527495772,0.5322338740030924,1594.9924582487315,179.48303296704512,0.012664259326760493,3
java,9,9,100.0,9,538.7949364015985,2.534338845147027,4849.154427614387,297.8824751472739,0.026311063475055622,4
ruby,10,10,100.0,10,574.5607705653571,1.9241195678710938,5745.6077056535705,287.7109533735631,2.445294647411325,5
haskell,4,4,100.0,4,576.8421307332986,0.0915752649307251,2307.3685229331945,438.6651193988424,0.009887044477690992,6
rust,7,7,100.0,7,583.0439559212289,0.07752575193132673,4081.307691448602,315.0788791747638,0.003146615751335265,7
c,6,6,100.0,6,583.7113837078062,0.028944651285807293,3502.2683022468373,359.6335106334437,0.012516318495330709,8
ocaml,6,6,100.0,6,591.5251527104938,0.018975496292114258,3549.1509162629627,350.353786742423,0.0006247201734404713,9
csharp,8,8,100.0,8,591.9389455830049,0.09239846467971802,4735.511564664039,319.3330010918138,0.007470891358910377,10
php,10,10,100.0,10,618.758720377963,1.1066602706909179,6187.58720377963,322.10044421170824,0.003233282866806153,11
julia,9,9,100.0,9,643.1606061663585,2.774271329243978,5788.445455497227,345.97526401626703,2.3222260318196413,12
r,9,9,100.0,9,644.3640126568433,1.2254561053382025,5799.27611391159,335.88871053808566,0.03008089490137364,13
javascript,6,6,100.0,6,653.5913037967367,1.1574524641036987,3921.5478227804206,268.2527808544751,0.006902049282877891,14
go,7,7,100.0,7,728.4489435906036,0.027144363948277066,5099.142605134225,280.75220114902623,0.0011067966846025794,15
