language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
matlab,60,60,100.0,2,5134.437485838534,3.3774375041325886,308066.24915031204,3348.0090354877084,0.1181226215179,1
cpp,120,120,100.0,4,6060.184927460788,0.2325608730316162,727222.1912952946,6846.608828438271,0.04529428929970638,2
javascript,120,120,100.0,4,8610.04951394825,1.2576205849647522,1033205.9416737901,4560.523218801251,0.010013956434528196,3
typescript,60,60,100.0,2,8714.69086599857,0.5894938349723816,522881.4519599142,3311.6832284194656,0.011592430590473428,4
python,210,210,100.0,7,8741.88493746354,1.3714312042508807,1835795.8368673432,5237.012838185281,0.028792898706417366,5
go,240,240,100.0,8,9358.159961628196,0.029168789585431416,2245958.390790767,5938.519872394674,0.0028954068625649276,6
ruby,270,270,100.0,9,9563.00713133605,1.282548287179735,2582011.9254607335,5687.840781572213,0.11699143124589348,7
java,210,210,100.0,7,9989.073609217307,2.744643397558303,2097705.4579356345,5368.670895222215,0.042374618374846525,8
ocaml,210,210,100.0,7,10204.140317028614,0.02014479296548026,2142869.466576009,4397.030446865221,0.00434838156254805,9
rust,240,240,100.0,8,10758.917641560687,0.09207018613815307,2582140.233974565,6153.335968673452,0.008900582473023505,10
php,300,300,100.0,10,11128.894602416662,1.2119959115982055,3338668.3807249987,6259.735915423554,0.010771563300593473,11
r,300,300,100.0,10,11365.024775039197,1.3518971832593283,3409507.432511759,6260.114294536677,0.032652129755221464,12
c,210,210,100.0,7,11400.441213554219,0.028505094846089683,2394092.654846386,7056.978984591436,0.0038864246513018296,13
haskell,180,180,100.0,6,11562.831687524835,0.09505456818474664,2081309.7037544702,6974.322990781009,0.009123399362140367,14
julia,180,180,100.0,6,11644.799362332258,1.3354541937510171,2096063.8852198063,6549.396203818473,0.04468491429018357,15
csharp,180,180,100.0,6,11758.961287933771,0.10350809892018636,2116613.031828079,6089.295668597292,0.011416594600342942,16
