task_name,avg_code_length,min_code_length,max_code_length,total_implementations,task_url,languages
100 Doors,17,1,170,325,https://swam-dataset.org/tasks/100_doors,"11l,360assembly,4dosbatch,6502assembly,68000assembly,8080assembly,8086assembly,8th,Aarch64assembly,Abap,Acl2,Action!,Actionscript,Acurityarchitect,Ada,Agena,Aikido,Algol-m,Algol60,Algol68,Algolw,Amigae,Apl,Applescript,Arbre,Argile,Armassembly,Arturo,Astro,Asymptote,Ats,Autohotkey,Autoit,Awk,Axiom,B,Bacon,Basic,Batchfile,Bbcbasic,Bc,Bcpl,Befunge,Blade,Blitzmax,Bloop,Bqn,Bracmat,Burlesque,C,C#,C++,C1r,Cachéobjectscript,Ceylon,Clarion,Clio,Clips,Clojure,Clu,Cobol,Coco,Coffeescript,Coldfusion,Comal,Commodorebasic,Commonlisp,Componentpascal,Coq,Cowgol,Crystal,D,Dafny,Dart,Dc,Dcl,Delphi,Draco,Dup,Dwscript,Dyalect,Dylan,Déjàvu,E,Easylang,Echolisp,Ecl,Edsacordercode,Eero,Egel,Egl,Eiffel,Ela,Elena,Elixir,Elm,Emacslisp,Erlang,Erre,Eulermathtoolbox,Euphoria,Excel,F#,Factor,Falcon,False,Fantom,Fbsl,Fhidwfe,Fish,Focal,Forth,Fortran,Freebasic,Freepascal,Friendlyinteractiveshell,Frink,Funl,Futhark,Futurebasic,Fuzebasic,Fōrmulæ,Gambas,Gap,Gdscript,Genie,Glee,Gml,Go,Golfscript,Gosu,Groovy,Gw-basic,Harbour,Haskell,Haxe,Hicest,Holyc,Hoon,Huginn,Hy,I,Iconandunicon,Idris,Inform7,Informix4gl,Io,Ioke,Isabelle,J,Janet,Java,JavaScript,Jq,Julia,K,Klingphix,Klong,Kotlin,Kql,Labview,Lambdatalk,Langur,Lasso,Latitude,Lhogho,Libertybasic,Lily,Logo,Lolcode,Lua,M2000interpreter,M4,Mad,Maple,Maxima,Maxscript,Mercury,Metafont,Microsoftsmallbasic,Miniscript,Mipsassembly,Mirah,Mircscriptinglanguage,Mmix,Modula-2,Modula-3,Montilang,Moo,Moonscript,Mumps,Myrddin,Mysql,Nanoquery,Netrexx,Newlisp,Nial,Nim,OCaml,Oberon,Objeck,Objective-c,Octave,Oforth,Ol,Onyx,Oorexx,Oxygenbasic,Oz,PHP,Pascal,Perl,Perl5i,Phix,Phixmonti,Phl,Picat,Picolisp,Piet,Pike,Pointless,Pony,Pop11,Postscript,Potion,Powershell,Processing,Prodos,Prolog,Pure,Purebasic,Puredata,Pyret,Python,Q,Qb64,Quackery,R,Racket,Raku,Rapidq,Rebol,Red,Relation,Retro,Rexx,Ring,Ruby,Runbasic,Rust,S-basic,S-lang,Salmon,Sas,Sather,Scala,Scheme,Scilab,Scratch,Seed7,Sensetalk,Sequencel,Setl,Sheerpower4gl,Sidef,Simula,Slate,Smalltalk,Smartbasic,Snobol4,Sparkling,Spin,Sql,Sqlpl,Standardml,Stata,Supercollider,Swift,Tailspin,Tcl,Ti-83basic,Ti-89basic,Tinybasic,Torquescript,Transact-sql,Transd,Truebasic,Tsesal,Tuscript,Txr,TypeScript,Uniface,Unison,Unixshell,Ursa,Ursala,Utfool,Vala,Vaxassembly,Vba,Vbscript,Veditmacrolanguage,Verilog,Vhdl,Visualbasic,Visualbasic.net,Vlang,Vtl-2,Wart,Wdte,Wortel,Wrapl,Wren,X86assembly,Xbasic,Xojo,Xpl0,Xslt1.0,Xslt2.0,Xtalk,Yabasic,Yorick,Zig,Zkl,Zxspectrumbasic"
100 Prisoners,55,1,201,75,https://swam-dataset.org/tasks/100_prisoners,"11l,Aarch64assembly,Ada,Apl,Applesoftbasic,Armassembly,Autohotkey,Basic256,Bcpl,C,C#,C++,Clojure,Clu,Commodorebasic,Commonlisp,Cowgol,Crystal,D,Delphi,Easylang,Elixir,F#,Factor,Focal,Forth,Fortran,Freebasic,Gambas,Go,Groovy,Haskell,J,Janet,Java,JavaScript,Jq,Julia,Kotlin,Lua,MATLAB,Maple,Miniscript,Nim,Pascal,Perl,Phix,Phixmonti,Picolisp,Pointless,Powershell,Processing,Purebasic,Python,Qb64,Quackery,R,Racket,Raku,Red,Rexx,Ruby,Rust,Sather,Scala,Swift,Tcl,Transact-sql,Vbscript,Visualbasic.net,Vlang,Wren,Xpl0,Yabasic,Zkl"
15 Puzzle Game,127,1,725,77,https://swam-dataset.org/tasks/15_puzzle_game,"11l,68000assembly,Aarch64assembly,Action!,Ada,Apl,Armassembly,Astro,Autohotkey,Basic,Bbcbasic,Bqn,C,C#,C++,Cobol,Commonlisp,Easylang,F#,Factor,Forth,Fortran,Freebasic,Gambas,Go,Harbour,Haskell,J,Java,JavaScript,Julia,Kotlin,Libertybasic,Livecode,Lua,M2000interpreter,Mercury,Mumps,Nim,OCaml,PHP,Pascal,Perl,Phix,Picat,Powershell,Processing,Purebasic,Python,Qb64,Quackery,R,Racket,Raku,Rebol,Red,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Scheme,Scilab,Simula,Standardml,Tcl,Unixshell,Vba,Vbscript,Visualbasic.net,Visualprolog,Wren,X86-64assembly,Xbasic,Xpl0,Yabasic"
15 Puzzle Solver,201,21,911,18,https://swam-dataset.org/tasks/15_puzzle_solver,"11l,Aarch64assembly,Ada,Armassembly,C,C++,Commonlisp,F#,Forth,Fortran,Go,Julia,Lua,Nim,Pascal,Perl,Phix,Picat"
2048,202,1,928,61,https://swam-dataset.org/tasks/2048,"Aarch64assembly,Ada,Algol68,Amazinghopper,Applesoftbasic,Armassembly,Autohotkey,Basic,Batchfile,Bbcbasic,C,C#,C++,Clojure,Commonlisp,D,Delphi,Elixir,Elm,F#,Factor,Forth,Fortran,Freebasic,Go,Haskell,J,Java,JavaScript,Julia,Kotlin,Latitude,Lua,M2000interpreter,MATLAB,Maple,Nim,OCaml,PHP,Pascal,Perl,Phix,Picolisp,Pony,Prolog,Python,Qb64,R,Racket,Raku,Red,Rexx,Ring,Ruby,Rust,Scala,Seed7,Tcl,Visualbasic.net,Wren,Xpl0"
21 Game,80,26,212,45,https://swam-dataset.org/tasks/21_game,"11l,Aarch64assembly,Armassembly,Arturo,Autohotkey,Awk,Bash,C,C#,C++,Commodorebasic,Delphi,Easylang,F#,Factor,Fortran,Freebasic,Gambas,Go,Haskell,J,Java,JavaScript,Julia,Lua,Nim,Objeck,PHP,Pascal,Perl,Phix,Picat,Python,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Visualbasic.net,Vlang,Wren"
24 Game,82,1,781,100,https://swam-dataset.org/tasks/24_game,"11l,8th,Aarch64assembly,Abap,Ada,Apl,Applesoftbasic,Argile,Armassembly,Arturo,Autohotkey,Autoit,Bbcbasic,Befunge,Bracmat,C,C#,C++,Ceylon,Clojure,Cobol,Coffeescript,Commodorebasic,Commonlisp,D,Echolisp,Elena,Elixir,Erlang,F#,Factor,Falcon,Fortran,Freebasic,Gap,Go,Gosu,Groovy,Haskell,Hicest,Huginn,Iconandunicon,J,Java,JavaScript,Julia,Kotlin,Lasso,Libertybasic,Livecode,Locomotivebasic,Logo,Lua,Maple,Miniscript,Mircscriptinglanguage,Modula-2,Mumps,Nanoquery,Nim,Nit,OCaml,Objeck,Oforth,Oorexx,PHP,Perl,Phix,Picat,Picolisp,Potion,Powershell,Prodos,Prolog,Purebasic,Python,Quackery,R,Racket,Raku,Red,Rexx,Ring,Ruby,Rust,Scala,Scheme,Sidef,Simula,Swift,Tcl,Torquescript,Tuscript,Unixshell,Vba,Vlang,Wren,Yabasic,Zkl,Zxspectrumbasic"
24 Gamesolve,94,6,430,62,https://swam-dataset.org/tasks/24_gamesolve,"11l,Aarch64assembly,Abap,Argile,Armassembly,Autohotkey,Bbcbasic,C,C#,C++,Ceylon,Clojure,Cobol,Coffeescript,Commonlisp,D,Echolisp,Elixir,Erre,Eulermathtoolbox,F#,Factor,Fortran,Gap,Go,Gosu,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Julia,Kotlin,Libertybasic,Lua,Nim,OCaml,Perl,Phix,Picat,Picolisp,Prodos,Prolog,Python,Quackery,R,Racket,Raku,Rexx,Ruby,Rust,Scala,Scheme,Sidef,Simula,Swift,Tcl,Ursala,Wren,Yabasic,Zkl"
4 Rings Or 4 Squares Puzzle,59,1,369,59,https://swam-dataset.org/tasks/4_rings_or_4_squares_puzzle,"11l,Aarch64assembly,Ada,Algol68,Applescript,Armassembly,Awk,Befunge,C,C#,C++,Clojure,Commonlisp,Crystal,D,Delphi,F#,Factor,Fortran,Freebasic,Go,Groovy,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,Modula-2,Nim,Pascal,Perl,Phix,Picat,Prolog,Python,R,Racket,Raku,Rexx,Ruby,Rust,Scala,Scheme,Sidef,Simula,Sqlpl,Stata,Tcl,Vba,Visualbasic.net,Vlang,Wren,X86assembly,Xpl0,Yabasic,Zkl"
9 Billion Names Of God The Integer,32,1,127,63,https://swam-dataset.org/tasks/9_billion_names_of_god_the_integer,"11l,Aarch64assembly,Ada,Armassembly,Autohotkey,C,C#,C++,Clojure,Commonlisp,Crystal,D,Dart,Dyalect,Elixir,Erlang,Factor,Forth,Freebasic,Frink,Gap,Go,Groovy,Haskell,Iconandunicon,J,Java,JavaScript,Julia,Kotlin,Lasso,Lua,Maple,Maxima,Nim,OCaml,Ol,Perl,Phix,Phixmonti,Picat,Picolisp,Pike,Purebasic,Python,Racket,Raku,Red,Rexx,Ruby,Rust,Scala,Scheme,Sidef,Spl,Stata,Swift,Tcl,Vba,Vlang,Wren,Yabasic,Zkl"
99 Bottles Of Beer,20,1,240,193,https://swam-dataset.org/tasks/99_bottles_of_beer,"0815,11l,360assembly,6502assembly,6800assembly,8080assembly,8th,Aarch64assembly,Abap,Acl2,Action!,Actionscript,Ada,Aime,Algae,Algol-m,Algol60,Algol68,Amigae,Apacheant,Apex,Apl,Appinventor,Applescript,Arbre,Argile,Armassembly,Arnoldc,Arturo,Asciidots,Astro,Asymptote,Ats,Autohotkey,Autoit,Awk,Axe,Babel,Basic,Batchfile,Battlestar,Bc,Bcpl,Beeswax,Befunge,Blitzmax,Bloop,Bqn,Bracmat,Brainf***,Brat,C,C#,C++,Ceylon,Chapel,Chef,Cind,Clay,Clio,Clips,Clojure,Clu,Cobol,Coffeescript,Coldfusion,Comal,Comefrom0x10,Commonlisp,Componentpascal,Cowgol,Crystal,D,Dart,Dbl,Dc,Delphi,Dibol-11,Draco,Dyalect,Dylan,Déjàvu,E,Ecl,Egel,Egl,Eiffel,Ela,Elena,Elixir,Elm,Emacslisp,Erlang,Euphoria,Extendedbrainf***,F#,Factor,Falcon,False,Ferite,Fexl,Focal,Forth,Fortran,Frege,Friendlyinteractiveshell,Frink,Funl,Futurebasic,Gambas,Gap,Genie,Gnuplot,Go,Go!,Golfscript,Golo,Gosu,Groovy,Guiss,Halon,Haskell,Haxe,Hexiscript,Hicest,Holyc,Hoon,Hope,Hq9plus,Huginn,Hypertalk,Iconandunicon,Idl,Idris,Inform6,Inform7,Intercal,Io,Ioke,J,Java,JavaScript,Joy,Jq,Jsish,Julia,K,Kabap,Kitten,Klingphix,Klong,Kotlin,Labview,Lambdaprolog,Lambdatalk,Lang5,Lasso,Latex,Ldpl,Lhogho,Limbo,Lingo,Lisp,Llvm,Logo,Logtalk,Lolcode,Lua,Lucid,M4,MATLAB,Macro-11,Mad,Make,Malbolge,Maple,Maxima,Maxscript,Mercury,Min,Miniscript,Mipsassembly,Mirah,Mircscriptinglanguage,Mlite,Modula-2,Modula-3,Monkey,Montilang,Moo,Moonscript,Mumps,Natural"
Ab,8,1,160,270,https://swam-dataset.org/tasks/ab,"0815,11l,360assembly,8080assembly,8th,Aarch64assembly,Abap,Action!,Ada,Agena,Aime,Algol60,Algol68,Algolw,Amazinghopper,Antlr,Apex,Apl,Applescript,Arc,Argile,Armassembly,Arturo,Asciidots,Ats,Autohotkey,Autoit,Awk,Basic,Batchfile,Bc,Befunge,Bird,Bloop,Bootbasic,Bqn,Bracmat,Brainf***,Brat,Burlesque,C,C#,C++,Ceylon,Clojure,Cobol,Coffeescript,Commonlisp,Componentpascal,Crystal,D,Dart,Dc,Dcl,Delphi,Diego,Dms,Dragon,Dwscript,Déjàvu,Easylang,Echolisp,Edsacordercode,Egl,Eiffel,Ela,Elena,Elixir,Elm,Emacslisp,Emojicode,Erlang,Erre,Eulermathtoolbox,Euphoria,Excel,F#,Factor,False,Fantom,Fbsl,Fhidwfe,Fish,Forth,Fortran,Freepascal,Frink,Funl,Furor,Gambas,Gastona,Gema,Genie,Gml,Go,Golfscript,Golo,Gosu,Groovy,Guiss,Harbour,Haskell,Hexiscript,Hicest,Hoon,Hope,Huginn,Hy,I,Iconandunicon,Idris,J,Java,JavaScript,Joy,Jq,Jsish,Julia,K,Keg,Kite,Klong,Kotlin,Kql,Lambdatalk,Lang5,Lasso,Lil,Lisaac,Little,Littlemancomputer,Livecode,Logo,Lplusplus,Lua,M2000interpreter,M4,Maple,Maude,Maxima,Mercury,Min,Miniscript,Mircscriptinglanguage,Modula-2,Moonscript,Mumps,Nanoquery,Neko,Nemerle,Netrexx,Newlisp,Nim,Nit,Ns-hubasic,Nyquist,OCaml,Oberon-2,Objeck,Oforth,Ol,Onyx,Oorexx,Openscad,Order,Oxygene,Oz,PHP,Pascal,Perl,Phix,Phixmonti,Picat,Picolisp,Piet,Pike,Pony,Postscript,Potion,Powershell,Processing,Prodos,Prolog,Pure,Purebasic,Python,Qb64,Quackery,Quitebasic,R,Ra,Racket,Raku,Rebol,Red,Relation,Retro,Rexx,Ring,Robotic,Rockstar,Ruby,Runbasic,Rust,S-lang,Scala,Scheme,Scratch,Sed,Seed7,Self,Sensetalk,Sequencel,Setl,Shiny,Sidef,Simula,Smalltalk,Smartbasic,Smilebasic,Snobol4,Spad,Spark,Spl,Sql,Sqlpl,Ssem,Standardml,Swift,Symsyn,Tailspin,Tcl,Ti-83basic,Ti-83hexassembly,Ti-89basic,Torquescript,Transd,Tsesal,Tuscript,Txr,TypeScript,Ultimateplusplus,Unixshell,Ursa,Ursala,Vala,Vba,Vbscript,Verilog,Vhdl,Visualbasic.net,Vlang,Weebasic,Wisp,Wren,X86assembly,Xbs,Xeec,Xlisp,Xojo,Xpl0,Xquery,Yabasic,Yorick,Zed,Zkl,Zoea,Zoeavisual,Zonnon,Zxspectrumbasic"
Abbreviations Automatic,48,2,391,53,https://swam-dataset.org/tasks/abbreviations_automatic,"11l,Aarch64assembly,Ada,Amazinghopper,Armassembly,Awk,Bqn,C,C#,C++,Cobol,Commonlisp,D,Delphi,Erlang,F#,Factor,Go,Groovy,Haskell,J,Java,JavaScript,Julia,Kotlin,Ksh,Lua,Nim,Objeck,Perl,Phix,Picat,Prolog,Purebasic,Python,Racket,Raku,Red,Rexx,Ruby,Rust,Scala,Sensetalk,Tcl,Transd,Tsesal,Vba,Vbscript,Visualbasic.net,Vlang,Wren,Yabasic,Zkl"
Abbreviations Easy,49,1,347,46,https://swam-dataset.org/tasks/abbreviations_easy,"11l,Aarch64assembly,Ada,Algol68,Armassembly,Autohotkey,Awk,C,C++,Clojure,Delphi,Euphoria,Factor,Go,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lua,Nanoquery,Nim,OCaml,PHP,Pascal,Perl,Phix,Picat,Powershell,Prolog,Python,Racket,Raku,Rexx,Ruby,Rust,Scala,Tcl,Vba,Veditmacrolanguage,Vlang,Wren,Yabasic,Zkl"
Abbreviations Simple,61,1,356,41,https://swam-dataset.org/tasks/abbreviations_simple,"11l,Aarch64assembly,Ada,Algol68,Armassembly,C,C++,Clojure,Crystal,D,Delphi,Factor,Forth,Go,Haskell,J,Java,JavaScript,Julia,Kotlin,Lua,M2000interpreter,Miniscript,Nim,OCaml,Perl,Phix,Python,Racket,Raku,Rexx,Ruby,Rust,Scala,Snobol4,Tcl,Vba,Vlang,Wren,Yabasic,Zkl"
Abc Problem,35,1,182,130,https://swam-dataset.org/tasks/abc_problem,"11l,360assembly,8080assembly,8086assembly,8th,Aarch64assembly,Abap,Action!,Acurityarchitect,Ada,Algol68,Algolw,Apex,Apl,Applescript,Armassembly,Arturo,Astro,Autohotkey,Awk,Bacon,Basic,Batchfile,Bbcbasic,Bcpl,Bqn,Bracmat,C,C#,C++,Ceylon,Clojure,Clu,Coffeescript,Comal,Commonlisp,Componentpascal,Cowgol,D,Delphi,Draco,Dyalect,Echolisp,Ela,Elena,Elixir,Erlang,Erre,Euphoria,F#,Factor,Fbsl,Forth,Fortran,Freebasic,Gambas,Go,Groovy,Harbour,Haskell,Iconandunicon,J,Java,JavaScript,Jq,Jsish,Julia,Kotlin,Libertybasic,Logo,Lua,M2000interpreter,Maple,Maxscript,Mercury,Miniscript,Nim,OCaml,Oberon-2,Objeck,Oforth,Order,PHP,Pascal,Perl,Phix,Picat,Picolisp,Powerbasic,Powershell,Prolog,Purebasic,Python,Q,Quackery,R,Racket,Raku,Rapidq,Red,Rexx,Ring,Ruby,Runbasic,Rust,Scala,Scheme,Seed7,Sensetalk,Sequencel,Sidef,Simula,Smalltalk,Snobol4,Spad,Standardml,Swift,Tcl,Tuscript,Txr,Ultimateplusplus,Unixshell,Utfool,Vba,Wren,Xpl0,Yabasic,Zkl,Zonnon,Zxspectrumbasic"
Abelian Sandpile Model,69,1,172,30,https://swam-dataset.org/tasks/abelian_sandpile_model,"11l,Aarch64assembly,Armassembly,C,C++,Delphi,F#,Forth,Fortran,Freebasic,Fōrmulæ,Go,Haskell,J,Java,Julia,Lua,Nim,OCaml,Pascal,Perl,Phix,Python,Raku,Rust,Scheme,Vba,Vlang,Wren,Xpl0"
Abelian Sandpile Modelidentity,78,7,244,24,https://swam-dataset.org/tasks/abelian_sandpile_modelidentity,"11l,Aarch64assembly,Ada,Algol68,Armassembly,C++,F#,Factor,Go,Haskell,J,Julia,Lua,Nim,OCaml,Phix,Python,Raku,Red,Rexx,Ruby,Rust,Vlang,Wren"
Abstract Type,16,1,78,89,https://swam-dataset.org/tasks/abstract_type,"11l,Aarch64assembly,Abap,Actionscript,Ada,Agda,Aikido,Amigae,Apex,Argile,Autohotkey,Basic,C,C#,C++,Cachéobjectscript,Clojure,Cobol,Commonlisp,Componentpascal,Crystal,D,Delphi,Dwscript,E,Eiffel,Elena,F#,Fantom,Forth,Fortran,Freebasic,Genyris,Go,Groovy,Haskell,Iconandunicon,J,Java,Julia,Kotlin,Lasso,Lingo,Logtalk,Lua,M2000interpreter,MATLAB,Mercury,Nemerle,Netrexx,Newlisp,Nim,Nit,OCaml,Oberon-2,Objeck,Oforth,Oorexx,Oxygenbasic,Oz,PHP,Pascalandobjectpascal,Perl,Phix,Picolisp,Powershell,Python,Racket,Raku,Rebol,Red,Rescript,Rexx,Ruby,Rust,Scala,Seed7,Sidef,Simula,Smalltalk,Standardml,Tcl,Vala,Vba,Visualbasic,Visualbasic.net,Vlang,Wren,Zkl"
Abundant Deficient And Perfect Number Classifications,32,2,376,99,https://swam-dataset.org/tasks/abundant_deficient_and_perfect_number_classifications,"11l,360assembly,8086assembly,Aarch64assembly,Action!,Ada,Algol68,Algolw,Applescript,Armassembly,Arturo,Autohotkey,Awk,Basic,Batchfile,Bcpl,Befunge,Bracmat,C,C#,C++,Ceylon,Clojure,Clu,Commonlisp,Cowgol,D,Delphi,Draco,Dyalect,Echolisp,Ela,Elena,Elixir,Erlang,F#,Factor,Forth,Fortran,Freebasic,Frink,Gfabasic,Go,Groovy,Haskell,J,Java,JavaScript,Jq,Jsish,Julia,K,Kotlin,Libertybasic,Lua,MATLAB,Mad,Maple,Ml,Modula-2,Newlisp,Nim,Oforth,Pascal,Perl,Phix,Picat,Picolisp,Powershell,Processing,Prolog,Purebasic,Python,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Scheme,Seed7,Sidef,Swift,Tcl,TypeScript,Vala,Vba,Vbscript,Visualbasic.net,Vlang,Vtl-2,Wren,Xpl0,Yabasic,Zkl,Zxspectrumbasic"
Abundant Odd Numbers,52,4,456,66,https://swam-dataset.org/tasks/abundant_odd_numbers,"11l,360assembly,Aarch64assembly,Ada,Algol68,Algolw,Applescript,Armassembly,Arturo,Autohotkey,Awk,Basic256,C,C#,C++,Clu,Commonlisp,D,Delphi,F#,Factor,Fortran,Freebasic,Frink,Futurebasic,Go,Groovy,Haskell,J,Java,JavaScript,Jq,Julia,Kotlin,Lobster,Lua,Mad,Maple,Maxima,Nim,Pascal,Perl,Phix,Picolisp,Processing,Purebasic,Python,Q,Quackery,R,Racket,Raku,Rexx,Ring,Ruby,Rust,Scala,Sidef,Smalltalk,Swift,Visualbasic.net,Vlang,Wren,X86assembly,Xpl0,Zkl"
