task,language,run_number,success,co2_mg,execution_time_s,session_id,timestamp
Sum_digits_of_an_integer,cpp,1,True,3.9366064197681734,0.23201537132263184,Sum_digits_of_an_integer_cpp_iter01_101332,2025-10-29T10:13:33.679026
Sum_digits_of_an_integer,cpp,2,True,7.030075530390631,0.22891664505004883,Sum_digits_of_an_integer_cpp_iter02_101333,2025-10-29T10:13:34.510621
Sum_digits_of_an_integer,cpp,3,True,10.087532369800812,0.23404216766357422,Sum_digits_of_an_integer_cpp_iter03_101334,2025-10-29T10:13:35.347142
Sum_digits_of_an_integer,cpp,4,True,13.362670428518774,0.22912883758544922,Sum_digits_of_an_integer_cpp_iter04_101335,2025-10-29T10:13:36.178795
Sum_digits_of_an_integer,cpp,5,True,16.370785102367233,0.22835659980773926,Sum_digits_of_an_integer_cpp_iter05_101336,2025-10-29T10:13:37.009603
Sum_digits_of_an_integer,cpp,6,True,19.33987571181479,0.22916245460510254,Sum_digits_of_an_integer_cpp_iter06_101337,2025-10-29T10:13:37.841489
Sum_digits_of_an_integer,cpp,7,True,22.64685607874465,0.2314314842224121,Sum_digits_of_an_integer_cpp_iter07_101337,2025-10-29T10:13:38.675227
Sum_digits_of_an_integer,cpp,8,True,25.66895423581642,0.23172974586486816,Sum_digits_of_an_integer_cpp_iter08_101338,2025-10-29T10:13:39.509692
Sum_digits_of_an_integer,cpp,9,True,28.642238024739274,0.23068594932556152,Sum_digits_of_an_integer_cpp_iter09_101339,2025-10-29T10:13:40.342667
Sum_digits_of_an_integer,cpp,10,True,31.90649522600803,0.22847867012023926,Sum_digits_of_an_integer_cpp_iter10_101340,2025-10-29T10:13:41.173995
Sum_digits_of_an_integer,cpp,11,True,34.91541069887939,0.23034358024597168,Sum_digits_of_an_integer_cpp_iter11_101341,2025-10-29T10:13:42.007322
Sum_digits_of_an_integer,cpp,12,True,37.88099953936739,0.2301311492919922,Sum_digits_of_an_integer_cpp_iter12_101342,2025-10-29T10:13:42.840098
