language,total_runs,successful_runs,success_rate,tasks_count,avg_co2_per_run_mg,avg_time_per_run_s,total_co2_mg,co2_std_mg,time_std_s,energy_rank
cpp,150,150,100.0,5,14680.725917159161,0.21584882736206054,2202108.887573874,7836.7658178973525,0.016027913381244263,1
python,180,180,100.0,6,15457.347745387115,1.2653576321072049,2782322.5941696805,7483.288497251206,0.026466937735125363,2
java,270,270,100.0,9,16930.947146853123,2.54722837695369,4571355.729650343,8544.58538431739,0.02776368135138582,3
typescript,90,90,100.0,3,16989.37404741194,0.5353591415617202,1529043.6642670748,4197.9683552157585,0.009024964517788963,4
ruby,300,300,100.0,10,18008.24605929385,1.8452074178059896,5402473.817788156,8298.893049271966,2.098863678533989,5
rust,210,210,100.0,7,18250.529710916373,0.08137540590195429,3832611.239292438,8915.450464576064,0.002116938177208152,6
c,180,180,100.0,6,18262.9014400321,0.029866324530707464,3287322.259205778,10052.851390520555,0.012192607237202583,7
ocaml,180,180,100.0,6,18499.11727693182,0.019372271166907415,3329841.109847727,9704.27370567003,0.000870973687154681,8
csharp,240,240,100.0,8,18545.407066519165,0.09340566595395407,4450897.6959646,9110.436684124745,0.007566704037381246,9
php,300,300,100.0,10,19346.64815477964,1.1263854002952576,5803994.446433892,9216.468818881387,0.021802450295559363,10
julia,270,270,100.0,9,20008.481880908832,2.814952079455058,5402290.107845385,9731.328417619787,2.2123913235040953,11
r,270,270,100.0,9,20079.155793351703,1.2303218117466679,5421372.06420496,9540.105240790095,0.028329107603208305,12
haskell,240,240,100.0,8,20498.251889056875,0.09911541938781739,4919580.45337365,9939.43948724828,0.007928012630603436,13
javascript,180,180,100.0,6,20509.600694184857,1.1679423093795775,3691728.124953274,7186.295484968938,0.013903608807303739,14
go,210,210,100.0,7,22742.922679117128,0.03177378972371419,4776013.762614597,7626.327635802699,0.0015145654344133341,15
