task,language,total_runs,successful_runs,success_rate,avg_co2_mg,median_co2_mg,min_co2_mg,max_co2_mg,std_co2_mg,total_co2_mg,avg_time_s,median_time_s,min_time_s,max_time_s,std_time_s
100_doors,cpp,30,30,100.0,45.22708064614438,49.235299653692294,3.884477138791491,76.64357428493288,22.84847124514824,1356.8124193843314,0.2069059689839681,0.2048121690750122,0.19920825958251953,0.2213754653930664,0.005381744138573523
100_doors,java,30,30,100.0,248.20305337938598,248.56629180640735,87.81863019584911,408.43314753022,97.2971762070136,7446.091601381581,2.769292863210042,2.764025926589966,2.7441039085388184,2.8315179347991943,0.021014238365783595
100_doors,csharp,30,30,100.0,427.83431608711487,427.8678466750396,409.6435002816379,446.0666271628514,11.060664897996617,12835.029482613445,0.09479891459147136,0.09437739849090576,0.09263849258422852,0.10538315773010254,0.002191238820183789
100_doors,python,30,30,100.0,566.6491494976681,566.8839872234779,453.93039579452204,680.4967992417681,68.61202811626444,16999.47448493004,1.3865501880645752,1.3889309167861938,1.3305535316467285,1.4357249736785889,0.02684891778386819
100_doors,ruby,30,30,100.0,766.0742021878767,766.5285309467741,686.1868605165564,845.6397295848132,48.52496183412773,22982.226065636303,1.2411248445510865,1.2386842966079712,1.2133731842041016,1.2622613906860352,0.011589531241188833
100_doors,javascript,30,30,100.0,931.9431399240895,932.0094163048557,851.1331387197691,1012.6606596754524,49.064979407240266,27958.294197722684,1.2711432854334512,1.2714561223983765,1.2576639652252197,1.2881855964660645,0.008595147459478342
100_doors,typescript,30,30,100.0,1060.6593730053676,1060.6999400044176,1015.7629106851622,1105.5717196851872,27.30986007300379,31819.781190161026,0.6009828170140584,0.5969583988189697,0.5778851509094238,0.6370115280151367,0.013610602650007974
100_doors,c,30,30,100.0,1121.0258692595412,1121.0458925030916,1106.6506332782667,1135.3636672135403,8.734914945606256,33630.776077786235,0.025794243812561034,0.025706768035888672,0.02515268325805664,0.027052879333496094,0.0004696853534776589
100_doors,go,30,30,100.0,1153.650262901806,1153.5823554351346,1136.5739790185917,1170.733389514275,10.37227213927845,34609.50788705419,0.07531042098999023,0.07527661323547363,0.07280397415161133,0.07943940162658691,0.0015559256820596346
100_doors,rust,30,30,100.0,1189.6194242754805,1189.5852726472108,1171.9725336589981,1207.3113416915928,10.718930568997735,35688.58272826441,0.08738061587015787,0.0869135856628418,0.08506298065185547,0.10253691673278809,0.0029612741491628278
100_doors,php,30,30,100.0,1290.3322539856288,1290.2055858778535,1212.7260930058214,1368.1057159150855,47.253377384319904,38709.96761956886,1.219809603691101,1.2171409130096436,1.1913058757781982,1.2759666442871094,0.016234385282607754
100_doors,haskell,30,30,100.0,1388.713888506355,1388.7240930483047,1369.4113766139233,1408.0489418614713,11.755374679841468,41661.41665519065,0.11764607429504395,0.11720001697540283,0.11643338203430176,0.12757515907287598,0.0019724658240419675
100_doors,ocaml,30,30,100.0,1423.053091416396,1423.0686437525314,1408.993315554295,1437.1106791100706,8.533188932138737,42691.59274249188,0.020163607597351075,0.020109057426452637,0.01961684226989746,0.020845651626586914,0.0002920508375560084
